url,brand_name,composition,manufacturer,price,safety_advice,fact_box,drug_interactions,product_intro,how_it_works,uses,benefits,side_effects,substitutes,user_feedback,error
https://www.1mg.com/drugs/ascoril-d-plus-syrup-sugar-free-184611,Ascoril D Plus Syrup Sugar Free,Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Glenmark Pharmaceuticals Ltd,Rs. 146,"{""Alcohol"": ""UNSAFE"", ""Pregnancy"": ""UNSAFE"", ""Breast feeding"": ""UNSAFE"", ""Driving"": ""UNSAFE"", ""Kidney"": ""UNSAFE"", ""Liver"": ""UNSAFE""}",{},[],"Product introductionAscoril D Plus Syrup Sugar Free is a medicine used in the treatment of the common cold and cough. It can provide quick relief from cough and common cold symptoms like runny nose, stuffy nose, sneezing, watery eyes, and congestion or stuffiness. Ascoril D Plus Syrup Sugar Free may be taken with or without food in the dose and duration advised by your doctor. The dose you receive will depend on your condition and how you respond to the medicine. Continue taking this medicine for as long as your doctor recommends. If you stop treatment too early, your symptoms may return, and your condition may worsen. Inform your healthcare provider about all other medicines you are taking, as some may affect, or be affected by, this medicine.Common side effects of this medicine include headache, sedation, double vision, vomiting, diarrhea, dry mouth, and nausea. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine, as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning a pregnancy, or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","Buy Ascoril D Plus Syrup Sugar Free Online: View Uses, Side Effects, Price, Substitutes | 1mg",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Ascoril D Plus SyrupIn Treatment of Dry coughA dry cough is a non-productive cough that causes throat irritation and discomfort. Ascoril D Plus Syrup Sugar Free helps suppress the cough reflex and reduce throat irritation. It also relieves associated allergy symptoms such as sneezing and a runny nose. This helps reduce coughing and improves overall comfort.In Treatment of Common coldThe common cold can cause symptoms such as nasal congestion, a runny nose, sneezing, and watery eyes. Ascoril D Plus Syrup Sugar Free helps reduce nasal congestion by narrowing blood vessels and controlling allergy-related symptoms. This helps relieve stuffiness, sneezing, and irritation, making breathing easier.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/ascoril-ls-syrup-63412,Ascoril LS Syrup,Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Glenmark Pharmaceuticals Ltd,Rs. 134,"{""Alcohol"": ""CAUTION"", ""Pregnancy"": ""CAUTION"", ""Breast feeding"": ""CAUTION"", ""Driving"": ""CAUTION"", ""Kidney"": ""CAUTION"", ""Liver"": ""CAUTION""}",{},[],"Product introductionAscoril LS Syrup is a combination medicine used in the treatment of cough with mucus. It thins mucus in the nose, windpipe, and lungs, making it easier to cough out. It also provides relief from a runny nose, sneezing, itching, and watery eyes. Ascoril LS Syrup can be taken with or without food. Take it in the dose and duration advised by the doctor. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early, your symptoms may come back. Let your doctor know about all other medications you are taking, as some may affect, or be affected by, this medicine.The most common side effects include nausea, diarrhea, stomach pain, vomiting, muscle cramps, headache, skin rash, and increased heart rate. Most of these effects are usually temporary and often resolve with time. Contact your doctor if you are concerned about any of these side effects. This medicine may also cause sleepiness, so do not drive or perform activities that require mental alertness until you know how this medicine affects you.Never support self-medication or recommend your medicine to another person. Drink plenty of fluids while taking Ascoril LS Syrup. Before taking this medicine, tell your doctor if you are pregnant, planning pregnancy, or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. Avoid drinking alcohol while taking this medicine, as it can make sleepiness worse.","Buy Ascoril LS Syrup Online: View Uses, Side Effects, Price, Substitutes | 1mg",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Ascoril LS SyrupIn Treatment of Cough with mucusA cough with mucus occurs when thick secretions block the airways, causing breathing difficulty and frequent coughing. Ascoril LS Syrup loosens mucus, promotes its removal, and opens the airways. This helps reduce cough, clear congestion, and make breathing easier.",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/ativan-1mg-tablet-322827,Ativan 1mg Tablet,Lorazepam (1mg),Pfizer Ltd,,"{""Alcohol"": ""UNSAFE"", ""Pregnancy"": ""UNSAFE"", ""Breast feeding"": ""UNSAFE"", ""Driving"": ""UNSAFE"", ""Kidney"": ""UNSAFE"", ""Liver"": ""UNSAFE""}",{},[],"Product introductionAtivan 1mg Tablet is a prescription medicine used to treat anxiety disorders such as generalized anxiety disorder (excessive worry or restlessness), obsessive-compulsive disorder (OCD), panic attacks, and social phobias. It is also used for the short-term relief of the symptoms of anxiety. Ativan 1mg Tablet relieves symptoms of anxiety such as nervousness, rapid breathing, increased heart rate, excessive sweating, trembling, weakness or lack of concentration. It may be taken with or without food. However, take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming.If you have missed any doses, take it as soon as you remember it and finish the full course of treatment even if you feel better. You should not stop this medication without talking to your doctor as it may cause nausea and anxiety.The most common side effects of this medicine are weakness, sedation, and balance disorder (loss of balance). It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Talk to your doctor about potential side effects and ways you might prevent or cope with them. You may also get side effects after stopping the treatment.Before taking the medicine you should tell your doctor if you are pregnant, planning to become pregnant, or breastfeeding. Taking it along with alcohol affects the way it works and can increase the chance of side effects. If you have been taking this medicine for a long time then regular monitoring of blood and liver functions may be required.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Ativan TabletIn Treatment of Anxiety disorderAtivan 1mg Tablet helps relieve symptoms of many anxiety disorders including obsessive-compulsive disorder and generalised anxiety disorder by increasing the level of a chemical called GABA in your brain. This prevents abnormal symptoms of anxiety such as restlessness, tiredness, difficulty concentrating, feeling irritable and sleep problems. It helps you feel calm with a better ability to deal with problems. Exercise and a healthy diet can also improve your mood. Keep taking the medicine until your doctor advises you to stop.In Treatment of Short term anxietyAtivan 1mg Tablet reduces the symptoms of excessive anxiety and worry that may arise in stressful conditions such as an exam or job interview. It can also reduce feelings of restlessness, tiredness, difficulty concentrating and feeling irritable. This will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/avomine-tablet-28784,Avomine Tablet,Promethazine (25mg),Abbott,,"{""Alcohol"": ""UNSAFE"", ""Pregnancy"": ""UNSAFE"", ""Breast feeding"": ""UNSAFE"", ""Driving"": ""UNSAFE"", ""Kidney"": ""UNSAFE"", ""Liver"": ""UNSAFE""}",{},[],"Product introductionAvomine Tablet used in the treatment of nausea and vomiting related to certain conditions like before/after surgery or motion sickness. It may also be used to treat allergic conditions such as rash, itching, and runny nose. Avomine Tablet should be taken with or without food, but take it at the same time every day to get the most benefit. The dose and how often you take it depend on what you are taking it for. Your doctor will decide how much you need to improve your symptoms.  You should take this medicine for as long as it is prescribed for you. If you miss a dose, take it as soon as you remember it. However, you should never take a double dose. Inform your doctor if your symptoms do not improve within 7 days of treatment.The most common side effect of this medicine is drowsiness. If this bothers you or appears serious, let your doctor know. There may be ways to reduce or prevent it. It makes skin more sensitive to sunlight. Use a sunscreen or wear protective clothing before going out.Before taking this medicine, let your doctor know if you have glaucoma or have asthma issues, or have high blood pressure. Inform your doctor if you are pregnant or breastfeeding. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Generally, it is advised to avoid alcohol while on treatment.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Avomine TabletIn Treatment of Allergic conditionsAvomine Tablet is used to treat many different inflammatory and allergic conditions. It works by lowering your immune system’s response to these conditions and prevents the release of substances in the body that cause inflammation. It helps relieve symptoms such as swelling, pain, itching, and other allergic-type reactions. If you are not sure why you are being given this medicine, ask your doctor.This medicine is given orally (by mouth). You should always take it as it has been prescribed for you. Do not stop taking it without your doctor’s advice. This can cause unpleasant withdrawal symptoms. Because this medicine weakens your immune system, you should avoid being near people who are ill or have infections.In Treatment of Motion sicknessMotion sickness is a condition caused due to motion during travel. You may experience spinning sensation (vertigo), nausea or vomiting as a result of this condition. Avomine Tablet helps treat these symptoms effectively. Take it as prescribed by the doctor to get maximum benefit.In Treatment of NauseaAvomine Tablet blocks the action of chemicals in the body that can make you feel or be sick. It is often used to prevent nausea and vomiting that may be caused due to some medicines or any other medical treatment. This medicine helps you recover more comfortably. The dose will depend on what you are being treated for but always take this medicine as it is prescribed.show moreshow less",,[],,
https://www.1mg.com/drugs/actorise-40-injection-227647,Actorise 40 Injection,Darbepoetin alfa (40mcg),Cipla Ltd,,"{""Alcohol"": ""CONSULT YOUR DOCTOR"", ""Pregnancy"": ""CONSULT YOUR DOCTOR"", ""Breast feeding"": ""CONSULT YOUR DOCTOR"", ""Driving"": ""CONSULT YOUR DOCTOR"", ""Kidney"": ""CONSULT YOUR DOCTOR"", ""Liver"": ""CONSULT YOUR DOCTOR""}",{},[],"Product introductionActorise 40 Injection is used in the treatment of anemia that may have occurred due to chronic kidney disease or chemotherapy. It works by stimulating the bone marrow to produce more red blood cells. Actorise 40 Injection is a medicine that needs to be used with utmost care because it can lead to serious side effects. It is important that you seek treatment from a doctor who is experienced in providing this medical therapy. You should follow all the directions of the doctor strictly. It is given under the supervision of a healthcare professional.It may cause side effects like high blood pressure and hypersensitivity. Inform your doctor if there are symptoms of very high blood pressure such as severe headache, problems with your eyesight, nausea, vomiting, or fits (seizures).Your doctor may get your blood tests done regularly to monitor the levels of salts (electrolytes such as potassium), hemoglobin, and blood cells in your blood. You should stop taking it and consult with a doctor if you develop shortness of breath or skin rash.There is a Patient Support Program/Patient Assistance Program available in India for this medicine, being managed by Tata 1mg. Please contact your prescribing doctor to know more about the same. You may also call on (1800-102-1618) for more details.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Actorise InjectionIn Treatment of Anemia due to cancer chemotherapyLow red blood cell count is termed as anemia. Cancer treatment with chemotherapy often causes many side effects, one of the major ones being anemia. Actorise 40 Injection stimulates the production of red blood cells in bone marrow and regulates the haemoglobin in the blood. This treats anemia in cancer patients receiving chemotherapy.In Treatment of Anemia due to chronic kidney diseaseAnemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. Chronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. CKD can lead to anemia. Actorise 40 Injection can boost your levels of red blood cells and reduce the symptoms of anemia such as tiredness and weakness. Taking this injection improves the quality of life.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/amoxyclav-625-tablet-491614,Amoxyclav 625 Tablet,Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Abbott,Rs. 124,"{""Alcohol"": ""CONSULT YOUR DOCTOR"", ""Pregnancy"": ""CONSULT YOUR DOCTOR"", ""Breast feeding"": ""CONSULT YOUR DOCTOR"", ""Driving"": ""CONSULT YOUR DOCTOR"", ""Kidney"": ""CONSULT YOUR DOCTOR"", ""Liver"": ""CONSULT YOUR DOCTOR""}",{},[],"Product introductionAmoxyclav 625 Tablet is an antibiotic that helps your body fight infections caused by bacteria. It treats infections of the lungs (e.g., pneumonia), the ear, the nasal sinus, the urinary tract, the skin, and the soft tissue. It will not work for viral infections such as the common cold. Amoxyclav 625 Tablet is best taken with a meal to reduce the chance of stomach upset. Take it regularly at evenly spaced intervals as prescribed by your doctor. Take it at the same time daily to help you remember. The dose will depend on the type and severity of the condition, as well as your body weight. Complete the full course of treatment. Do not stop taking it, even if you feel better. If you stop it early, some bacteria may survive, and the infection may return or worsen.The most common side effects of Amoxyclav 625 Tablet include recurrent or persistent fungal infection (mucocutaneous candidiasis), nausea, diarrhea, and vomiting. If you experience any symptoms that are persistent or get worse, consult your doctor.Before taking Amoxyclav 625 Tablet, let your doctor know if you are allergic to any antibiotics or have kidney or liver problems. You should also inform your doctor about all other medicines you are taking, as they may affect or be affected by Amoxyclav 625 Tablet. Pregnant and breastfeeding women should consult their doctor before taking this medicine to make sure it is safe for them.","Buy Amoxyclav 625 Tablet Online: View Uses, Side Effects, Price, Substitutes | 1mg",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Amoxyclav TabletIn Treatment of Bacterial infectionsBacterial infections can affect different parts of the body, such as the ear, sinus, throat, lungs, urinary tract, skin, teeth, joints, and bones. Amoxyclav 625 Tablet is an antibiotic that works by killing the bacteria causing the infection. This helps relieve symptoms, clear the infection, and prevent it from spreading or worsening. Complete the full prescribed course to ensure effective treatment and reduce the risk of resistance.",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/azacytin-injection-341892,Azacytin Injection,Azacitidine (100mg),Dr Reddy's Laboratories Ltd,Rs. 5184,"{""Alcohol"": ""CONSULT YOUR DOCTOR"", ""Pregnancy"": ""CONSULT YOUR DOCTOR"", ""Breast feeding"": ""CONSULT YOUR DOCTOR"", ""Driving"": ""CONSULT YOUR DOCTOR"", ""Kidney"": ""CONSULT YOUR DOCTOR"", ""Liver"": ""CONSULT YOUR DOCTOR""}",{},[],"Product introductionAzacytin Injection is used in the treatment of some kinds of blood cancer. It is used for the treatment of adult patients with all subtypes of Myelodysplastic Syndrome (MDS). It may be also used to treat other conditions, as determined by the doctor. Azacytin Injection is given as an injection under the medical supervision of a doctor. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. You should take it exactly as your doctor has advised. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to.The most common side effects of this medicine include injection site reactions (pain, swelling, redness), vomiting, weakness, and nausea. If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them. You must inform your doctor before taking any vaccination while on treatment with this medicine. Regular blood tests are required to check your blood cells along with the heart, liver, and kidney.Before taking it, tell your doctor if you have liver, or kidney problems or are taking any medicines to treat infections. Many other medicines can affect, or be affected by, this medicine so let your doctor know all medications you are using. This medicine is not recommended during pregnancy or while breastfeeding.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Azacytin InjectionIn Blood cancerBlood cancer, also called leukemia, is a cancer of the blood-forming tissues, that decreases the body's ability to fight infection. Azacytin Injection kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. It is a potent and very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.In Treatment of Myelodysplastic syndromeAzacytin Injection is used to treat myelodysplastic syndrome, a group of conditions in which the bone marrow produces blood cells that are abnormal in structure and function, and does not produce enough healthy blood cells. Azacytin Injection kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. It is an effective, yet very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/armotraz-tablet-45480,Armotraz Tablet,Anastrozole (1mg),Cipla Ltd,Rs. 428,"{""Alcohol"": ""CAUTION"", ""Pregnancy"": ""CAUTION"", ""Breast feeding"": ""CAUTION"", ""Driving"": ""CAUTION"", ""Kidney"": ""CAUTION"", ""Liver"": ""CAUTION""}",{},[],"Product introductionArmotraz Tablet is used alone or with other treatments, such as surgery or radiation, to treat early breast cancer in postmenopausal women. It can also be used as the first line treatment of advanced breast cancer that has spread within the breast or to other areas of the body. Armotraz Tablet belong to a class of drug called aromatase inhibitors, which decreases the amount of estrogen in the body. It should be taken with or without food, but take it at the same time every day to get the most benefit. It should be taken as your doctor's advice. The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms. Swallow the tablets whole with a drink of water. You should take this medicine for as long as it is prescribed for you.The most common side effects of the medicine include hot flushes, nausea, rashes, joint pain, osteoporosis, and weakness. If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them.Before taking this medicine, tell your doctor if you are not gone through menopause and still having menstrual periods, or you have a problem with the liver or kidney. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Tell your doctor if you are pregnant or breastfeeding. Your doctor may perform some blood tests to check for vitamin D level or bone density.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Armotraz TabletIn Breast cancerBreast cancer is a common type of cancer that can grow in response to hormones like estrogen. Armotraz Tablet is used in hormone receptor-positive breast cancer, especially in postmenopausal women, to help slow or stop the growth of cancer cells by lowering estrogen levels in the body. This treatment supports cancer control, helps reduce the risk of recurrence, and improves long-term outcomes.",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/avastin-100mg-injection-135666,Avastin 100mg Injection,Bevacizumab (100mg),Roche Products India Pvt Ltd,Rs. 30473,"{""Alcohol"": ""CONSULT YOUR DOCTOR"", ""Pregnancy"": ""CONSULT YOUR DOCTOR"", ""Breast feeding"": ""CONSULT YOUR DOCTOR"", ""Driving"": ""CONSULT YOUR DOCTOR"", ""Kidney"": ""CONSULT YOUR DOCTOR"", ""Liver"": ""CONSULT YOUR DOCTOR""}",{},[],"Product introductionAvastin 100mg Injection is an anticancer medication. It is used in the treatment of cancer of colon and rectum, non-small cell lung cancer, kidney cancer, brain tumor, ovarian and cervical cancer. It helps to prevent the growth of new blood vessels that feed tumors and stops tumors from growing. Avastin 100mg Injection is an effective medicine, first-line option when used together with other cancer medicines. It is given as an infusion. That means you get it through a small needle in your vein or through a port, which is a device placed under your skin. The doctor will decide your dose and duration and will check you for signs of an infusion reaction such as high blood pressure and trouble breathing. You keep taking Avastin 100mg Injection as long as your disease is controlled and your side effects are manageable. Your doctor will determine whether you should stop taking it or not. You may be advised to check blood pressure and levels of protein in urine while you are taking this medication.The most common side effects of this medicine include rectal bleeding, taste change, and headache. Inform your doctor that you are taking this medication before undergoing any surgical procedure, as the drug has ability to lower the ability of wound healing. Other than this, it also enhances your risk of bleeding thus if you notice any unusual bleeding or bleeding consult with your doctor immediately.Inform your doctor if you are pregnant, planning pregnancy or breastfeeding. Many other medicines can affect, or be affected by, this medicine so let your healthcare team know all medications you are using.There is a Patient Support Program/Patient Assistance Program available in India for this medicine, being managed by Tata 1mg. Please contact your prescribing doctor to know more about the same. You may also call on (1800-102-1618) for more details.","Buy Avastin 100mg Injection Online: View Uses, Side Effects, Price, Substitutes | 1mg",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Avastin InjectionIn Cancer of colon and rectumCancer of the colon and rectum affects the large intestine (colon) or its end portion (rectum) and usually begins as small, noncancerous polyps. Over time, these may become cancerous, leading to symptoms like blood in stool, changes in bowel habits, and weight loss. If not diagnosed early, the cancer can spread to other organs such as the liver or lungs. Avastin 100mg Injection helps by blocking the growth of new blood vessels that feed the tumor, thereby slowing its growth. This improves the effectiveness of other cancer treatments and may extend survival in patients with advanced colorectal cancer.In Ovarian cancerOvarian cancer originates in the ovaries and is often called a “silent killer” because it typically causes vague or no symptoms in the early stages. Avastin 100mg Injection aids in controlling tumor progression by cutting off its blood supply. This can delay the worsening of the disease, enhance the response to chemotherapy, and improve overall treatment outcomes.In Cervical cancerCervical cancer begins in the cervix, the lower part of the uterus that connects to the vagina. It is mainly caused by persistent infection with high-risk human papillomavirus (HPV) types. Symptoms can include abnormal vaginal bleeding, pain during intercourse, and pelvic pain. In advanced stages, the cancer may spread to surrounding organs. Avastin 100mg Injection helps manage the disease by preventing the formation of new blood vessels around the tumor, which slows down cancer progression and enhances the effects of other treatments.In Kidney cancerKidney cancer, particularly renal cell carcinoma, often develops without early symptoms and may be discovered incidentally during imaging tests. As it grows, it can cause blood in urine, back pain, or a mass in the abdomen. If not treated promptly, it may spread to the lungs, bones, or liver. Avastin 100mg Injection works by reducing the blood supply to the tumor, slowing its growth. This provides better disease control and helps improve the results of other cancer therapies.In Brain tumorBrain tumors are abnormal growths within the brain that can be either benign or malignant. Malignant brain tumors can cause headaches, seizures, vision problems, and cognitive changes depending on their location and size. Because they grow in a confined space, they can increase pressure within the skull, making them especially dangerous. Avastin 100mg Injection helps reduce tumor size and brain swelling by cutting off the tumor's blood supply. This can relieve symptoms, reduce the need for steroids, and improve quality of life during treatment.In Non-small cell lung cancerNon-small cell lung cancer is the most common type of lung cancer. It tends to grow and spread more slowly than small-cell lung cancer but is often diagnosed at a later stage. Symptoms may include persistent cough, chest pain, breathlessness, and unexplained weight loss. Avastin 100mg Injection helps by stopping the growth of blood vessels that supply nutrients to the tumor, making it harder for the cancer to grow or spread. This improves the impact of chemotherapy and may increase survival chances and symptom control.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],User feedback,
https://www.1mg.com/drugs/allegra-120mg-tablet-68763,Allegra 120mg Tablet,Fexofenadine (120mg),Sanofi Consumer Healthcare India Limited,Rs. 247,"{""Alcohol"": ""CONSULT YOUR DOCTOR"", ""Pregnancy"": ""CONSULT YOUR DOCTOR"", ""Breast feeding"": ""CONSULT YOUR DOCTOR"", ""Driving"": ""CONSULT YOUR DOCTOR"", ""Kidney"": ""CONSULT YOUR DOCTOR"", ""Liver"": ""CONSULT YOUR DOCTOR""}",{},[],"Product introductionAllegra 120mg Tablet is an anti-allergy medicine. It is used to treat allergic rhinitis and chronic idiopathic urticaria. It relieves symptoms such as sneezing, runny nose, nasal congestion, itching, watery eyes, and hives. It works by blocking histamine, a substance that triggers allergic symptoms. Allegra 120mg Tablet is usually taken before a meal. The dose and duration are advised by your doctor. The dose depends on your condition and how you respond to treatment. Take it regularly as prescribed and continue for the duration recommended by your doctor.The most common side effects are headache, drowsiness, dizziness, and nausea. Most of these are temporary and usually resolve with time. Consult your doctor if any of these side effects persist or get worse. Your doctor may be able to help prevent or treat the symptoms.Do not self-medicate or share this medicine with others, even if symptoms appear similar. Inform your doctor if you have any kidney, liver, or heart problems. Pregnant and breastfeeding women should consult their doctor before taking this medicine.",How drug works,Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,"Benefits of Allegra 120mg TabletIn Treatment of Allergic rhinitisAllegra 120mg Tablet works by blocking histamine, a chemical that triggers allergic symptoms. This reduces irritation in the nose and eyes and relieves discomfort. When taken as prescribed, it helps control symptoms. As a result, patients may experience greater relief of allergic symptoms and improved quality of life.In Treatment of Chronic Idiopathic UrticariaAllegra 120mg Tablet helps reduce itching, redness, and raised skin welts (hives) associated with chronic idiopathic urticaria. When used regularly as prescribed, it helps control flare-ups, improves skin comfort, and reduces the impact of persistent hives on daily life.show moreshow less",Medicines | Lab TestsSAFE | Consult Doctors | Cancer Care | Ayurveda | Partnerships | Care Plan,[],,
